event_id,waveform_file,station,datetime,s_arrival_time,p_arrival_time,latitude,longitude,depth,back_azimuth,magnitude,snr_horizontal,rectilinearity_jurkevics,incidence_p_jurkevics,incidence_eigenvalue_s,incidence_pykonal_s
12,waveforms/event_2015-01-22T04-45-04.100000Z.mseed,AXAS2,2015-01-22T04:45:04.100000Z,0.56,0.31,45.941299,-130.013107,0.489,5.985994242730385,0.0,4.236542546890648,0.9631434143308193,12.794457869059453,17.662257320363885,15.574371686326081
13,waveforms/event_2015-01-22T04-51-47.298000Z.mseed,AXAS2,2015-01-22T04:51:47.298000Z,1.962,1.092,45.969303,-129.992477,2.647,23.720963491529176,0.0,3.459722478776021,0.9173717509437765,4.618851500415953,28.24462104512818,9.01292463087966
14,waveforms/event_2015-01-22T04-56-42.742000Z.mseed,AXAS2,2015-01-22T04:56:42.742000Z,0.578,0.348,45.935417,-130.018829,1.236,297.25626486397084,0.0,5.551472230477832,0.981137664572288,5.588031295117206,26.730085187429882,7.405182087045725
15,waveforms/event_2015-01-22T05-01-53.618000Z.mseed,AXAS2,2015-01-22T05:01:53.618000Z,1.712,0.992,45.964764,-129.998398,1.522,20.186353281165083,0.0,2.1603674532399415,0.8718108269769476,8.379113770052308,26.56080097862455,10.12697152280632
16,waveforms/event_2015-01-22T05-20-42.271000Z.mseed,AXAS2,2015-01-22T05:20:42.271000Z,0.629,0.359,45.942486,-130.014114,0.548,0.6645535077686588,0.0,4.026298100225467,0.9077986141649633,17.82304520332217,37.52250690634515,14.698334171774944
17,waveforms/event_2015-01-22T05-34-14.780000Z.mseed,AXAS2,2015-01-22T05:34:14.780000Z,2.16,1.2,45.979816,-129.994141,2.428,17.543018568608844,0.0,4.212366235948552,0.9157566138359633,11.922865726576333,48.32774337315681,10.134620577377387
18,waveforms/event_2015-01-22T05-45-28.608000Z.mseed,AXAS2,2015-01-22T05:45:28.608000Z,0.602,0.362,45.935673,-130.019485,1.251,297.59164980957587,0.0,4.959654383976419,0.965762336361279,13.6665268119614,33.174559840265154,77.31376020544846
20,waveforms/event_2015-01-22T06-02-31.131000Z.mseed,AXAS2,2015-01-22T06:02:31.131000Z,0.869,0.519,45.946842,-130.022919,0.899,335.52632194069747,0.0,2.7961551387430856,0.8505366704158585,26.605659432991747,74.88611947616084,11.2846567990145
21,waveforms/event_2015-01-22T10-15-32.156000Z.mseed,AXAS2,2015-01-22T10:15:32.156000Z,0.644,0.374,45.943146,-130.016205,0.645,351.82707126234743,0.0,4.358281839629613,0.9654429060892641,11.847739934562373,70.656484746152,13.55957236937731
22,waveforms/event_2015-01-22T10-34-31.092000Z.mseed,AXAS2,2015-01-22T10:34:31.092000Z,0.648,0.378,45.942497,-130.016464,0.679,350.02718442180554,0.0,4.268232479038715,0.9873336752890094,15.253588839896173,37.96478984847485,13.33864448679896
23,waveforms/event_2015-01-22T10-39-08.507000Z.mseed,AXAS2,2015-01-22T10:39:08.507000Z,0.643,0.393,45.941593,-130.020187,0.756,332.2343296404787,0.0,3.823303027426817,0.9615374352847907,16.008785711032235,17.37597069272556,12.900187838433666
24,waveforms/event_2015-01-22T12-11-41.344000Z.mseed,AXAS2,2015-01-22T12:11:41.344000Z,1.606,0.976,45.964386,-129.99942,1.37,19.217307222188424,0.0,2.491968692093506,0.9616435451357942,5.965393061523043,10.8924948394348,9.106971303559563
25,waveforms/event_2015-01-22T12-53-24.901000Z.mseed,AXAS2,2015-01-22T12:53:24.901000Z,0.629,0.369,45.942135,-130.011597,0.396,12.52006502791653,0.0,4.1501662468032645,0.8824154662762927,9.075290783153328,9.365885350179626,16.217945420105462
