event_id,waveform_file,station,datetime,s_arrival_time,p_arrival_time,latitude,longitude,depth,back_azimuth,magnitude,snr_horizontal,rectilinearity_jurkevics,incidence_p_jurkevics,incidence_eigenvalue_s,incidence_pykonal_s
14,waveforms/event_2015-01-22T03-40-37.373000Z.mseed,AXEC2,2015-01-22T03:40:37.373000Z,1.597,0.837,45.953995,-130.005264,0.372,303.8416423706633,0.0,5.588924870933748,0.9684110143573873,7.916859071054163,1.0332489015436972,14.890224169800588
15,waveforms/event_2015-01-22T03-43-42.577000Z.mseed,AXEC2,2015-01-22T03:43:42.577000Z,1.443,0.733,45.949768,-129.997452,0.118,302.17491146023855,0.0,4.599814550412324,0.8803256215053302,16.779852005759828,1.9858953621220659,15.532780142635055
16,waveforms/event_2015-01-22T03-43-52.227000Z.mseed,AXEC2,2015-01-22T03:43:52.227000Z,1.413,0.663,45.950581,-129.997696,0.18,303.9141332791834,0.0,7.301183823486827,0.9599261235223084,9.859787437979772,5.034540101253535,15.182336051440528
17,waveforms/event_2015-01-22T04-01-36.519000Z.mseed,AXEC2,2015-01-22T04:01:36.519000Z,1.361,0.741,45.935841,-130.000183,0.231,258.95862280492247,0.0,2.3046341144021945,0.7824955903784214,74.48146364162676,19.474776514336224,15.447700588073312
19,waveforms/event_2015-01-22T04-45-04.100000Z.mseed,AXEC2,2015-01-22T04:45:04.100000Z,1.64,0.87,45.941299,-130.013107,0.489,274.11343017304387,0.0,5.277271205520332,0.9735035211800965,9.417950839251061,5.168217631498508,16.57956833258228
20,waveforms/event_2015-01-22T04-49-52.300000Z.mseed,AXEC2,2015-01-22T04:49:52.300000Z,1.24,0.69,45.956303,-129.993515,1.099,321.12191237276664,0.0,5.271544103543377,0.9360678283770318,7.927293718342739,0.33938992983138644,15.67596759528683
21,waveforms/event_2015-01-22T04-51-47.298000Z.mseed,AXEC2,2015-01-22T04:51:47.298000Z,1.832,1.552,45.969303,-129.992477,2.647,336.97570896981244,0.0,2.5204939259581143,0.9524886006210879,19.77797002005053,6.282669373780102,47.55452852754936
22,waveforms/event_2015-01-22T04-54-43.601000Z.mseed,AXEC2,2015-01-22T04:54:43.601000Z,1.029,0.619,45.926098,-129.981827,1.557,203.12790169891682,0.0,3.0965082639618267,0.9505930593764074,20.09834635054758,3.1158940124174785,13.929825989891434
23,waveforms/event_2015-01-22T04-56-42.742000Z.mseed,AXEC2,2015-01-22T04:56:42.742000Z,1.618,0.908,45.935417,-130.018829,1.236,263.0065900360936,0.0,6.982749163929842,0.9307689884438266,5.8418012674995525,5.896097458475774,14.121581965914388
24,waveforms/event_2015-01-22T05-01-53.618000Z.mseed,AXEC2,2015-01-22T05:01:53.618000Z,1.592,0.792,45.964764,-129.998398,1.522,326.3469815527425,0.0,6.937902444609453,0.9699670373960321,8.452678640314932,2.090014150273219,13.364454181251638
