event_id,datetime,phi,dt,phi_error,dt_error,quality,success,back_azimuth,incidence_pykonal_s,latitude,longitude,depth
1_123,2015-01-23T19:15:26.000000Z,-79.48127229489842,0.04,11.0,0.005,1.0,True,278.5187277051016,17.23131554559249,45.943439,-130.013214,0.482
1_124,2015-01-23T19:45:34.730000Z,-76.14998790051641,0.02,11.0,0.005,0.9685730319472645,True,295.8500120994836,16.45143404172799,45.945751,-129.992371,0.796
1_125,2015-01-23T19:45:49.468000Z,-73.45688649024692,0.02,12.0,0.005,1.0,True,296.5431135097531,16.651060684262728,45.946072,-129.992752,0.924
1_126,2015-01-23T19:46:09.771000Z,-75.24576217051833,0.03,17.0,0.005,0.9685730319472645,True,276.75423782948167,13.828975479839835,45.943111,-130.020432,1.094
1_127,2015-01-23T20:30:34.121000Z,-20.9474056569087,0.08,61.0,0.065,0.0,True,215.0525943430913,14.397816433922424,45.92786,-129.985367,1.124
1_128,2015-01-23T21:04:25.260000Z,24.10121436295617,0.15,53.0,0.03,0.9214325798681614,True,324.10121436295617,14.07911369629072,45.963024,-129.998672,1.334
1_130,2015-01-24T00:05:19.773000Z,,,,,,False,277.33582024133966,14.323301108661049,45.943237,-130.017853,0.81
1_133,2015-01-24T01:23:28.494000Z,-77.60947232917363,0.03,15.0,0.01,1.0,True,274.3905276708264,15.685917716850902,45.941334,-130.01091,0.403
1_134,2015-01-24T01:38:59.784000Z,-87.69138868007508,0.02,7.0,0.005,-0.6378220885998529,True,302.3086113199249,15.758902834892025,45.948086,-129.993408,0.681
1_136,2015-01-24T02:17:38.702000Z,12.728963283084283,0.27,8.0,0.005,0.7119194595165916,True,300.7289632830843,16.11875066218321,45.947052,-129.992111,0.452
1_137,2015-01-24T02:20:09.390000Z,16.257123562250513,0.05,53.0,0.1,0.0,True,314.2571235622505,14.024303155627589,45.954292,-129.99585,0.824
1_139,2015-01-24T02:28:42.643000Z,14.552970201614585,0.25,6.0,0.005,0.7454415587728429,True,324.5529702016146,13.82315901578894,45.953133,-129.9879,1.682
1_140,2015-01-24T02:29:58.979000Z,13.674694447083198,0.28,8.0,0.005,0.7151860526047058,True,305.6746944470832,14.8333894396526,45.951164,-129.99736,0.986
1_141,2015-01-24T02:30:05.590000Z,-77.38330629324366,0.02,9.0,0.005,1.0,True,302.61669370675634,15.995642863530335,45.948559,-129.994263,0.416
1_142,2015-01-24T02:35:28.741000Z,,,,,,False,330.4784810664427,10.82993353456683,45.976723,-130.004761,1.369
1_143,2015-01-24T03:39:37.945000Z,24.74544762040432,0.2,54.0,0.12,0.9278846945236268,True,334.7454476204043,14.253607045099574,45.963455,-129.990402,1.465
1_144,2015-01-24T03:40:45.889000Z,-58.377457387715424,0.03,16.0,0.01,0.7560611288877762,True,303.6225426122846,23.59294028331655,45.949627,-129.99585,0.397
1_145,2015-01-24T03:42:42.423000Z,-74.66033062408792,0.02,10.0,0.01,0.0,True,301.3396693759121,15.172965577712093,45.949245,-129.996979,0.197
1_146,2015-01-24T03:43:25.254000Z,7.91049661175083,0.13,57.0,0.03,0.7801706743232456,True,311.91049661175083,22.187804579486315,45.954208,-129.997604,2.213
1_147,2015-01-24T03:46:45.999000Z,89.30574223064502,0.06,48.0,0.11,0.07450380342405338,True,323.305742230645,16.69526087883765,45.959911,-129.995987,1.567
1_148,2015-01-24T03:47:05.918000Z,83.9783657861608,0.01,52.0,0.095,0.0,True,299.9783657861608,16.35622758760428,45.948906,-129.997421,0.253
1_150,2015-01-24T03:49:22.132000Z,12.112276412423626,0.19,51.0,0.07,0.8139192681088033,True,302.1122764124236,18.350727466815297,45.948879,-129.995422,0.185
1_151,2015-01-24T03:51:04.446000Z,-79.98221192776049,0.03,11.0,0.005,0.9371460638945291,True,278.0177880722395,15.37642240394429,45.943306,-130.014465,0.516
1_152,2015-01-24T03:55:02.330000Z,-73.38792598949897,0.02,10.0,0.01,0.07450380342405338,True,302.61207401050103,16.288599182870033,45.94973,-129.996964,0.203
1_154,2015-01-24T03:57:46.493000Z,-61.76119227273796,0.02,10.0,0.005,0.9371460638945291,True,302.23880772726204,22.377397666749715,45.949558,-129.996902,0.213
1_155,2015-01-24T03:59:27.745000Z,-71.16927361865504,0.02,6.0,0.005,0.9685730319472645,True,302.83072638134496,17.419055519170342,45.949455,-129.99614,0.294
1_156,2015-01-24T04:00:08.473000Z,-76.52826467035993,0.03,4.0,0.005,1.0,True,271.47173532964007,14.20662221393006,45.940098,-130.02034,1.091
1_159,2015-01-24T04:07:32.597000Z,-77.15790082714585,0.02,48.0,0.105,-0.8271516757099551,True,324.84209917285415,13.887538349567237,45.960827,-129.995728,1.493
1_160,2015-01-24T04:10:29.157000Z,-83.13254426722978,0.05,48.0,0.115,0.0,True,324.8674557327702,15.505188883397222,45.960728,-129.995605,1.507
1_161,2015-01-24T04:11:11.589000Z,-75.39800367478159,0.02,3.0,0.005,0.0,True,324.6019963252184,14.380933055557096,45.960758,-129.99585,1.486
1_162,2015-01-24T04:12:37.893000Z,-89.894628256401,0.07,49.0,0.13,0.0,True,328.105371743599,14.883249278193324,45.961472,-129.99379,1.635
1_163,2015-01-24T04:14:52.546000Z,30.820492211571548,0.19,51.0,0.03,0.82379116449839,True,324.82049221157155,14.9122059329168,45.960339,-129.995239,1.429
1_164,2015-01-24T04:16:22.202000Z,-83.75933750756633,0.03,49.0,0.12,-0.9528595479208969,True,302.24066249243367,22.665932004511895,45.949474,-129.996704,0.25
1_166,2015-01-24T04:22:14.670000Z,9.764018382810036,0.25,48.0,0.12,0.7171572875253809,True,301.76401838281004,27.23300711615919,45.949478,-129.997147,0.167
1_167,2015-01-24T04:22:31.540000Z,-77.84228187008517,0.02,13.0,0.005,0.9685730319472645,True,208.15771812991483,15.101430255053872,45.933994,-129.978027,1.486
1_168,2015-01-24T04:23:00.165000Z,,,,,,False,328.1630901622261,14.208246639948271,45.961704,-129.993958,1.677
1_169,2015-01-24T04:23:13.552000Z,-86.13098194724876,0.05,50.0,0.11,0.07450380342405338,True,327.86901805275124,15.369561456624604,45.960533,-129.993103,1.63
1_170,2015-01-24T04:23:47.350000Z,-81.34997919417941,0.02,25.0,0.005,0.9685730319472645,True,208.6500208058206,13.825342014970486,45.93401,-129.978104,1.492
1_172,2015-01-24T04:26:55.197000Z,13.022765632880976,0.25,48.0,0.12,0.0,True,325.022765632881,14.997223788453669,45.961071,-129.995834,1.503
1_173,2015-01-24T04:27:12.366000Z,47.0825335616986,0.02,8.0,0.005,0.0,True,311.0825335616986,16.766391621641297,45.942848,-129.979156,0.802
1_175,2015-01-24T04:29:38.160000Z,72.72087598115849,0.02,58.0,0.1,0.9371460638945291,True,204.72087598115849,18.666613239589974,45.933506,-129.977737,1.494
1_176,2015-01-24T04:29:52.630000Z,88.87340540745612,0.02,65.0,0.09,0.9685730319472645,True,204.87340540745612,19.6844124827266,45.933525,-129.977753,1.493
1_177,2015-01-24T04:30:53.094000Z,,,,,,False,205.7925586394577,25.328751412312126,45.933598,-129.977875,1.49
1_178,2015-01-24T04:31:16.020000Z,48.34787831489817,0.02,50.0,0.1,1.0,True,206.34787831489817,12.337586262959318,45.933815,-129.977829,1.495
1_179,2015-01-24T04:32:13.276000Z,53.778202662501485,0.02,7.0,0.005,0.9685730319472645,True,205.77820266250149,15.915095224190097,45.933685,-129.977814,1.511
1_180,2015-01-24T04:32:39.648000Z,40.1338451101287,0.02,51.0,0.105,0.3593502526610721,True,204.1338451101287,13.495242033416591,45.933601,-129.97757,1.521
1_181,2015-01-24T04:34:01.390000Z,-65.99073055241169,0.02,57.0,0.14,0.0,True,188.0092694475883,12.608300258917335,45.932941,-129.975037,1.373
1_183,2015-01-24T04:35:19.448000Z,69.06514667003671,0.03,18.0,0.005,0.9685730319472645,True,291.0651466700367,19.13625550000518,45.943443,-129.988373,0.372
1_185,2015-01-24T04:46:48.223000Z,73.2180636424905,0.02,47.0,0.105,0.9685730319472645,True,203.2180636424905,27.854430155116955,45.933197,-129.977646,1.511
1_186,2015-01-24T04:48:04.459000Z,81.54592013110562,0.04,19.0,0.01,0.10349615962759595,True,339.5459201311056,12.330574170957046,45.942753,-129.97551,1.885
1_187,2015-01-24T04:48:28.482000Z,74.50209531938191,0.03,29.0,0.005,0.38717412297165876,True,292.5020953193819,16.687003546013138,45.943455,-129.987366,1.583
1_189,2015-01-24T05:03:57.136000Z,84.5575503689953,0.02,49.0,0.085,0.11375392877292145,True,302.5575503689953,16.711296528639867,45.94994,-129.997498,0.246
1_190,2015-01-24T05:09:14.115000Z,10.499952799181813,0.25,7.0,0.005,0.7715538262062863,True,300.4999527991818,20.649965698771787,45.946899,-129.991898,0.468
1_191,2015-01-24T05:11:08.590000Z,8.164265207803282,0.16,53.0,0.03,-0.403675577929241,True,324.1642652078033,19.000888760592375,45.952225,-129.987137,1.684
1_192,2015-01-24T05:22:34.347000Z,,,,,,False,276.22252817390074,16.85283966265987,45.942852,-130.021118,1.036
1_193,2015-01-24T05:24:09.199000Z,-37.57712925802872,0.15,60.0,0.035,-0.8271516757099551,True,294.4228707419713,17.0375586072357,45.945343,-129.99231,0.585
1_195,2015-01-24T05:29:20.139000Z,-80.79516651461631,0.05,49.0,0.095,-0.9528595479208969,True,289.2048334853837,18.953605215076333,45.942883,-129.987564,0.457
1_196,2015-01-24T05:42:14.092000Z,-18.495702704204405,0.09,52.0,0.035,-0.5443089632353362,True,319.5042972957956,20.62683298995096,45.955524,-129.993698,0.875
1_197,2015-01-24T05:57:26.902000Z,11.229074679538826,0.15,51.0,0.105,0.0,True,305.2290746795388,15.361322066396168,45.950638,-129.996658,0.366
1_198,2015-01-24T06:14:02.303000Z,,,,,,False,199.76710106032448,12.775829831797155,45.932152,-129.977524,1.52
1_199,2015-01-24T06:22:38.202000Z,-81.91834054875551,0.06,5.0,0.005,0.6131003256337745,True,302.0816594512445,15.539698073607012,45.948933,-129.995575,0.445
1_200,2015-01-24T06:39:07.760000Z,,,,,,False,270.6063958296167,17.776572664900456,45.939621,-130.011429,0.418
1_201,2015-01-24T06:40:22.839000Z,-68.68444243298757,0.02,6.0,0.005,0.9685730319472645,True,301.31555756701243,17.423620183221175,45.949242,-129.996994,0.166
1_203,2015-01-24T06:51:41.312000Z,-76.30159396166084,0.03,18.0,0.03,0.2681833866633284,True,277.69840603833916,15.816557761558236,45.943027,-130.013077,0.504
1_204,2015-01-24T07:06:52.562000Z,89.9402392916868,0.05,52.0,0.115,0.0,True,291.9402392916868,19.06748200239896,45.944241,-129.990662,0.62
1_205,2015-01-24T07:10:06.871000Z,3.5422836374493727,0.19,51.0,0.075,0.0,True,303.5422836374494,20.92094299971543,45.949974,-129.996689,0.32
1_207,2015-01-24T07:24:13.075000Z,,,,,,False,302.9707285609695,19.645738321621867,45.949837,-129.996887,0.33
1_208,2015-01-24T07:26:24.502000Z,,,,,,False,201.2214135276095,13.608537705528356,45.932301,-129.977753,1.522
